Company,Industry,Review Title,Review Text,Rating,Date
DoorDash,Food Delivery,So awful if I could give it zero I…,So awful if I could give it zero I would consistently getting the order wrong today sent me the commenter wrong order and gave me credits instead of a proper refund and then use bots to try and fix the issue so awful this company is horrible,1,2026-08-06T19:47:31.000Z
DoorDash,Food Delivery,I ordered my food and it was delivered…,"I ordered my food and it was delivered to the wrong address. The driver argued it was delivered per the GPS. I reached out to Door Dash help, and they were only going to offer a $4.00 refund. So, I lost my whole order and got NOTHING from Door Dash. I have deleted the app and will only use UBER for now on. This was a horrible experience, and it definitely swayed me away from Door Dash.",1,2026-08-06T18:16:02.000Z
DoorDash,Food Delivery,My pharmacy uses doordash to deliver…,My pharmacy uses doordash to deliver their medicine and I called in my prescription not I didn't call him my doctor called it in on the 5th of August it's now the 6th of August and they're saying it's going to be 5:00 this afternoon before I can get very important medicine that I need I even called doordash and requesting them to do something and they transfer me back to Walgreens it's a sorry company don't use them make the extra effort go to the store get it yourself if you're waiting for a prescription like me you might die before you get it,1,2026-08-06T18:13:49.000Z
DoorDash,Food Delivery,Ordered a Cheesesteak that was never…,Ordered a Cheesesteak that was never delivered. DD would NOT refund payment,1,2026-08-06T17:31:11.000Z
DoorDash,Food Delivery,Just a heads-up for anyone who uses…,"Just a heads-up for anyone who uses DoorDash.

I recently placed an order, and the store was out of the items I ordered. The store told me to report the items as out of stock in the DoorDash app so I could request a refund or credit.

Unfortunately, DoorDash denied both my refund and credit request, even though the items weren't available. I ended up paying for food I never received.

Just be careful when ordering, and make sure you understand DoorDash's refund policies before placing an order. I wanted to share my experience so others are aware.",1,2026-08-06T14:28:30.000Z
DoorDash,Food Delivery,Throw monies out the window,Rude driver who didn’t even attempt to get me correct icecream. Said didn’t have in stock when I know they did. Got 2 gallons of icecream I had to throw away cause weren’t sugar free. Customer service was horrific denying me a refund. Stay away from DoorDash unless u like throwing monies out the window,1,2026-08-06T13:46:52.000Z
DoorDash,Food Delivery,Mixed Reviews,"While I do hate the DoorDash fees and sometimes the workers are rude and don't deliver as quickly as I want so the food is cold. The deals DoorDash has can be good and there are times when the workers do their job well and if they don't, then DoorDash is usually willing to accommodate you for it.",3,2026-08-06T06:54:21.000Z
DoorDash,Food Delivery,Halloween Delivery,"As a college student, I was always on Doordash and I've had pleasant experiences overall. Compared to their competitors, they are a little cheaper, but it definitely depends on the area. I've never had any major issues with deliveries, and if I did, it was resolved pretty quickly.",4,2026-08-06T06:27:07.000Z
DoorDash,Food Delivery,Just a terrible company,"Just a terrible company. I spent 40 bucks Dasher delivered to wrong address, their response give me 8 bucks refund, I spend so much money with them and 8 bucks is what I get, I'm getting rid of it I hope it crashes a burns.may take years but I think it will",1,2026-08-06T05:19:43.000Z
DoorDash,Food Delivery,DoorDash has been helpful when I don't…,"DoorDash has been helpful when I don't have time to cook or go pick up food myself. My biggest issue has been that delivery times can sometimes be longer than expected, and occasionally food arrives colder than I would like.",2,2026-08-06T04:25:17.000Z
DoorDash,Food Delivery,DoorDash steals customer money,"After having DoorDash for 4 years, suddenly I had an order cancelled by the Dasher after posting a pic of the receipt. No explanation, so DoorDash charged my account and would not give me a refund. Oh well probably on to better health. I do not recommend being a customer of this service.",1,2026-08-06T03:36:45.000Z
DoorDash,Food Delivery,"Convenient, but order accuracy could be better","I've used DoorDash many times because it's convenient and has a good selection of restaurants. Most of my orders arrive on time, but there have been several occasions where items were missing or my order wasn't completely correct. One thing I do appreciate is that customer support has usually been quick to issue refunds or credits when there's a problem, which makes the experience less frustrating. Overall, it's a convenient service, but I think there's still room for improvement when it comes to order accuracy.",3,2026-08-06T02:21:28.000Z
DoorDash,Food Delivery,My food got only arrived late by 15…,"My food got only arrived late by 15 minutes. It was cold and it was not what I ordered and then when I replied to customer service, they told me that they had no.",1,2026-08-06T01:40:08.000Z
DoorDash,Food Delivery,Door dash is scammers!!,Door dash is scammers!!! They jack up prices charge service fees (they do absolutely nothing to earn) then add “discounts” that will show all they way until you checkout then the price completely changes and goes from a simple $20 order to mow a $60 meal .. screw you door dash!! SHUT THEM DOWN NOW!!!,1,2026-08-06T01:09:04.000Z
DoorDash,Food Delivery,the driver says he delivered the order…,"the driver says he delivered the order BUT, he took a picture of our PARKING SPACE, which is not in front of our building. Everything is labeled clearly on the buildings. what was not in the picture is a picture of the order sitting in front of our door. So the drivers stupid picture of our parking space is totally worthless. it proves nothing other than the driver doesn't know how to think.",1,2026-08-05T23:38:40.000Z
DoorDash,Food Delivery,"Proof of out of stock item, refund denied anyway",Was given proof by the store that the item I ordered was out of stock. Doordash still refused to refund me and wasted hours of my time. Absolutely criminal that they can just steal from you and refuse refunds.,1,2026-08-05T23:13:04.000Z
DoorDash,Food Delivery,Stay away from this company,"Stay away from this company
Twice I ordered and twice the item did not arrive and they would not refund
Most rude",1,2026-08-05T21:38:24.000Z
DoorDash,Food Delivery,I ordered food from them,"I ordered food from them. They sent a pic of where they left it. It was a pic of the restaurant.
Driver didn't read directions. Called cust service couldn't get a refund or have it redelivered. I order my groceries from them and they use doordash. They suck.",1,2026-08-05T19:38:22.000Z
DoorDash,Food Delivery,Wrong order received,"Wrong order received, was cold and not edible. Contact support for them to offer nothing not even a replacement. Really bad customer service. Will not be using DoorDash again. Absolute disgraceful service",1,2026-08-05T11:45:11.000Z
DoorDash,Food Delivery,Arrogant Rude Driver & Doordash Allows It,"I placed a grocery store order and delivery. I carefully put in specific substitution preferences, very accurately I might add. There would have been NO reason for the shopper to message me. However the shopper apparently was not even reading those instructions and started bugging me texting beeping messages 20 minutes after the order. They pretty much posted the exact opposite of my instructions, which were to choose the NO-salt version of a product, for medical reasons. This was irritating so I replied no not that product in all caps. That really ""set the driver off"" for some reason and for the next 3 minutes all they did was escalate and call me ""Dude"" in the chat. The driver acted all aggressive in chat with ""I just sent the screen shot to support"" etc. Just bizarre and aggressive. Because of their rude attitude at that point I repeatedly posted ""CANCEL ORDER"" and the cancel request was refused. Also earlier I put in almost 20% tip !! And BTW doordash calls it a ""tip"" but it's actually a ""bid"" because you don't get to tip the driver AFTER the service !! Then the driver used a private entrance instead of public entrance as clearly indicated in my instructions !! Other items of the order were also wrong !! Hours later doordash sent an email warning to ME instead of reprimanding their driver !! The arrogant driver handled my food, has my address etc. yet somehow he is ""the victim"" ?? I mean wow it's an utterly out-of-control anti-consumer company that should be shut down imo. I filed a BBB complaint. I will not use doordash again.",1,2026-08-05T08:03:02.000Z
DoorDash,Food Delivery,I am a driver,"I am a driver, 100 percent complete rating 100 percent on time. Customer rating 4.97. Accepted an order for $5.00 dollars for 5.6 miles. After picking up the order the milage changed to over 12 miles. Contacted driver support and first did not want to adjust the pay. Then decided $2.50 was good. Not right i didn't agree to 12 miles. This is why drivers do not care. They charge the customer a whole lot more than we get paid. They wouldn't drive 4 or 5 miles for $2.00 but they want us to.",1,2026-08-05T07:54:55.000Z
